stock,cu_name,agg_name,ctc_indicator,notes
MERCED_RIVER,California Central Valley_Fall,Cali,NA,
BATTLE_CREEK,California Central Valley_Fall,Cali,NA,
FEATHER_RIVER_SPRING,California Central Valley_Spring,Cali,NA,
FEATHER_RIVER_FALL,California Central Valley_Fall,Cali,NA,
AMERICAN_RIVER,California Central Valley_Fall,Cali,NA,
COWICHAN_RIVER,East Vancouver Island-Georgia Strait_SU_0.3,ECVI,COW,
QUATSE_RIVER,East Vancouver Island-North_FA_0.x,ECVI,QUI,
COWICHAN_RIVER,East Vancouver Island-Cowichan and Koksilah_FA_0.x,ECVI,COW,
QUALICUM_RIVER,East Vancouver Island-Qualicum and Puntledge_FA_0.x,ECVI,BQR,
CHEMAINUS_RIVER,East Vancouver Island-Nanaimo and Chemainus_FA_0.x,ECVI,BQR,
THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE,South Thompson_SU_0.3,Fraser 4.1,SHU,
LITTLE_RIVER,South Thompson_SU_0.3,Fraser 4.1,SHU,
ADAMS_RIVER,South Thompson_SU_0.3,Fraser 4.1,SHU,
SHUSWAP_RIVER-LOWER,Shuswap River_SU_0.3,Fraser 4.1,SHU,
HARRISON_RIVER,Lower Fraser River_FA_0.3,Fraser Fall,HAR,
CAPILANO_RIVER,Lower Fraser River_FA_0.3,Fraser Fall,NA,
CHILLIWACK_VEDDER_RIVER,Lower Fraser River_FA_0.3,Fraser Fall,CHI,
CHILLIWACK_RIVER_fall,Lower Fraser River_FA_0.3,Fraser Fall,CHI,
EAGLE_RIVER,South Thompson_SU_1.3,Fraser Summer Year.,SHU,
RAFT_RIVER,North Thompson_SU_1.3,Fraser Summer Year.,SHU,
DEADMAN_RIVER,Lower Thompson_SP_1.2,Fraser Spring Year.,NIC,
NECHAKO_RIVER,Middle Fraser River_SU_1.3,Fraser Summer Year.,SHU,
CHILKO_RIVER,Middle Fraser River_SU_1.3,Fraser Summer Year.,SHU,
CARIBOO_RIVER,Middle Fraser River_SU_1.3,Fraser Summer Year.,SHU,
WEST_ROAD_BLACKWATER_RIVER,Middle Fraser River_SP_1.3,Fraser Spring Year.,NIC,
NORTH_THOMPSON_RIVER,North Thompson_SU_1.3,Fraser Summer Year.,SHU,
COLDWATER_RIVER-UPPER,Lower Thompson_SP_1.2,Fraser Spring Year.,NIC,
NICOLA_RIVER,Lower Thompson_SP_1.2,Fraser Spring Year.,NIC,
ABERNATHY_RIVER,Lower Columbia River,Low Col.,LRH,
COWEEMAN,Lower Columbia River,Low Col.,CWF,
COWLITZ_HATCHERY_SPRING,Lower Columbia River,Low Col.,NA,"Not in ERA, might be in FRAM"
CLACKAMAS_RIVER,Upper Willamette River,Low Col.,WSH,
SANDY_RIVER,Upper Willamette River,Low Col.,WSH,
SANTIAM_RIVER_North,Upper Willamette River,Low Col.,WSH,
NOOKSACK_RIVER,North Puget Sound,North Puget,SAM,
SKAGIT_RIVER,North Puget Sound,North Puget,SSF,
SOOS_CREEK,South Puget Sound,South Puget,SPS,
GREEN_RIVER,South Puget Sound,South Puget,SPS,
WHITE_RIVER,South Puget Sound,South Puget,SPS,
SNOHOMISH_RIVER,North Puget Sound,South Puget,STL,
GREEN_RIVER-Kendal,South Puget Sound,South Puget,SPS,
SKYKOMISH_RIVER,North Puget Sound,South Puget,SKY,
HANFORD_REACH,Upper Columbia River_SU_FA,Up Col.,HAN,
LYON'S_FERRY,Snake River_FA,Up Col.,LYF,
WENATCHEE_RIVER,Upper Columbia River_SU_FA,Up Col.,SUM,
DESCHUTES_RIVER,Upper Columbia River_SU_FA,Up Col.,URB,
OKANAGAN_RIVER,Okanagan_1.x,Up Col.,SMK,
SIMILKAMEEN,Upper Columbia River_SU_FA,Up Col.,SMK,
HUNTER_CREEK,South Oregon coastal,WA_OR,ELK,
UMPQUA_SPRING,South Oregon coastal,WA_OR,NA,Not in ERA
FORKS_CREEK_HATCHERY,Coastal Washington,WA_OR,QUE,
EUCHRE_CREEK,North & Central Oregon,WA_OR,ELK,
TRASK_HATCHERY,North & Central Oregon,WA_OR,SRH/ELK,
EUCHRE_CREEK,South Oregon coastal,WA_OR,ELK,
NESTUCCA_RIVER_FALL,North & Central Oregon,WA_OR,SRH,
ROBERTSON_CREEK,West Vancouver Island-South_FA_0.x,WCVI,RBT,
SOOKE_RIVER,West Vancouver Island-South_FA_0.x,WCVI,RBT,
SAN_JUAN_RIVER,West Vancouver Island-South_FA_0.x,WCVI,RBT,
THORNTON_CREEK,West Vancouver Island-South_FA_0.x,WCVI,RBT,
