"stock","cu_name","agg_name"
"MERCED_RIVER","California Central Valley_Fall","Cali"
"BATTLE_CREEK","California Central Valley_Fall","Cali"
"FEATHER_RIVER_SPRING","California Central Valley_Spring","Cali"
"FEATHER_RIVER_FALL","California Central Valley_Fall","Cali"
"AMERICAN_RIVER","California Central Valley_Fall","Cali"
"COWICHAN_RIVER","East Vancouver Island-Georgia Strait_SU_0.3","ECVI"
"QUATSE_RIVER","East Vancouver Island-North_FA_0.x","ECVI"
"COWICHAN_RIVER","East Vancouver Island-Cowichan and Koksilah_FA_0.x","ECVI"
"QUALICUM_RIVER","East Vancouver Island-Qualicum and Puntledge_FA_0.x","ECVI"
"CHEMAINUS_RIVER","East Vancouver Island-Nanaimo and Chemainus_FA_0.x","ECVI"
"THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE","South Thompson_SU_0.3","Fraser 4.1"
"LITTLE_RIVER","South Thompson_SU_0.3","Fraser 4.1"
"ADAMS_RIVER","South Thompson_SU_0.3","Fraser 4.1"
"SHUSWAP_RIVER-LOWER","Shuswap River_SU_0.3","Fraser 4.1"
"HARRISON_RIVER","Lower Fraser River_FA_0.3","Fraser Fall"
"CAPILANO_RIVER","Lower Fraser River_FA_0.3","Fraser Fall"
"CHILLIWACK_VEDDER_RIVER","Lower Fraser River_FA_0.3","Fraser Fall"
"CHILLIWACK_RIVER_fall","Lower Fraser River_FA_0.3","Fraser Fall"
NA,NA,"Fraser Sub."
"EAGLE_RIVER","South Thompson_SU_1.3","Fraser Year."
"RAFT_RIVER","North Thompson_SU_1.3","Fraser Year."
"DEADMAN_RIVER","Lower Thompson_SP_1.2","Fraser Year."
"NECHAKO_RIVER","Middle Fraser River_SU_1.3","Fraser Year."
"CHILKO_RIVER","Middle Fraser River_SU_1.3","Fraser Year."
"CARIBOO_RIVER","Middle Fraser River_SU_1.3","Fraser Year."
"WEST_ROAD_BLACKWATER_RIVER","Middle Fraser River_SP_1.3","Fraser Year."
"NORTH_THOMPSON_RIVER","North Thompson_SU_1.3","Fraser Year."
"COLDWATER_RIVER-UPPER","Lower Thompson_SP_1.2","Fraser Year."
"NICOLA_RIVER","Lower Thompson_SP_1.2","Fraser Year."
NA,NA,"Low Col."
"ABERNATHY_RIVER","Lower Columbia River","Low Col."
"COWEEMAN","Lower Columbia River","Low Col."
"COWLITZ_HATCHERY_SPRING","Lower Columbia River","Low Col."
"CLACKAMAS_RIVER","Upper Willamette River","Low Col."
"SANDY_RIVER","Upper Willamette River","Low Col."
"SANTIAM_RIVER_North","Upper Willamette River","Low Col."
"NOOKSACK_RIVER","North Puget Sound","North Puget"
"SKAGIT_RIVER","North Puget Sound","North Puget"
NA,NA,"South Puget"
"SOOS_CREEK","South Puget Sound","South Puget"
NA,"South Puget Sound","South Puget"
"GREEN_RIVER","South Puget Sound","South Puget"
"WHITE_RIVER","South Puget Sound","South Puget"
"SNOHOMISH_RIVER","North Puget Sound","South Puget"
"GREEN_RIVER-Kendal","South Puget Sound","South Puget"
"SKYKOMISH_RIVER","North Puget Sound","South Puget"
"HANFORD_REACH","Upper Columbia River_SU_FA","Up Col."
NA,"Snake River_FA","Up Col."
NA,"Upper Columbia River_SU_FA","Up Col."
"LYON'S_FERRY","Snake River_FA","Up Col."
"WENATCHEE_RIVER","Upper Columbia River_SU_FA","Up Col."
"DESCHUTES_RIVER","Upper Columbia River_SU_FA","Up Col."
"OKANAGAN_RIVER","Okanagan_1.x","Up Col."
"SIMILKAMEEN","Upper Columbia River_SU_FA","Up Col."
"HUNTER_CREEK","South Oregon coastal","WA_OR"
"UMPQUA_SPRING","South Oregon coastal","WA_OR"
"FORKS_CREEK_HATCHERY","Coastal Washington","WA_OR"
"EUCHRE_CREEK","North & Central Oregon","WA_OR"
"TRASK_HATCHERY","North & Central Oregon","WA_OR"
"EUCHRE_CREEK","South Oregon coastal","WA_OR"
"NESTUCCA_RIVER_FALL","North & Central Oregon","WA_OR"
"ROBERTSON_CREEK","West Vancouver Island-South_FA_0.x","WCVI"
"SOOKE_RIVER","West Vancouver Island-South_FA_0.x","WCVI"
"SAN_JUAN_RIVER","West Vancouver Island-South_FA_0.x","WCVI"
"THORNTON_CREEK","West Vancouver Island-South_FA_0.x","WCVI"
NA,NA,NA
