year,upriver_run,downstream_sport,downstream_comm,downstream_misc2,downstream_treaty,bon_dam_count,zone6_harvest_nontreaty,zone6_harvest_treaty,zone6_escapement,upriver_sport,upriver_wanapum,upriver_tribal,upriver_colville_tribal
80-84_avg,17505,0,0,51,0,17453,0,919,16535,0,0,0,0
85-89_avg,20982,9,0,75,0,20900,0,1170,19730,0,0,0,0
90-94_avg,14252,13,0,33,0,14206,0,165,14041,0,0,0,0
1995,12455,14,0,0,0,12441,0,417,12024,0,0,0,0
1996,12080,34,0,15,0,12031,0,374,11657,0,0,0,0
1997,17709,16,0,6,0,17687,0,270,17417,0,0,0,0
1998,15536,27,0,1,0,15508,0,335,15173,0,0,0,0
1999,21867,51,0,1,0,21815,0,395,21420,0,0,0,0
2000,22595,17,0,0,0,22578,0,209,22369,0,39,1092,442
2001,52960,64,0,1,0,52895,0,692,52203,0,82,4380,2346
2002,89524,1447,0,8,0,88069,113,2093,85863,36,197,4535,2720
2003,83058,1945,0,36,0,81077,415,4297,76365,40,223,5187,2178
2004,65623,1246,219,3,0,64155,260,8394,55501,36,157,5849,1874
2005,60272,1621,2787,0,0,55864,423,7642,47799,2,338,2192,894
2006,77573,4926,4819,9,0,67819,276,16319,51224,19,216,3864,1340
2007,37035,2214,1122,0,0,33699,136,5375,28188,12,294,3900,1070
2008,55532,2140,1370,59,0,51963,942,9029,41992,55,188,2597,1861
2009,53881,2341,2524,22,0,48994,175,11650,37169,90,185,2458,1190
2010,72346,2738,4720,20,230,64638,435,15569,48634,451,48,2481,3524
2011,80574,5576,5004,0,0,69994,303,20645,49046,86,55,5546,1208
2012,58300,3281,1692,23,0,53304,231,7824,45249,65,23,3980,3400
2013,67603,2058,1954,33,50,63508,176,13347,49985,148,240,2899,3452
2014,78254,2385,2743,45,210,72871,308,19179,53384,146,150,2875,3574
2015,126882,6152,3938,105,30,116657,609,37733,78315,177,284,4823,10410
2016,91048,3706,2990,60,100,84192,361,20415,63416,205,218,4214,3541
2017,68204,3853,0,47,160,64144,136,16168,47840,126,158,4325,1578
2018,42120,1140,0,24,50,40906,12,9448,31446,122,68,3385,1268
2019,34619,74,0,23,50,34472,6,5587,28879,0,27,6025,1404
2020,65494,1417,0,13,0,64064,6,8410,55648,135,36,5894,1728
2021,56800,2234,0,0,20,54489,22,11225,43242,77,62,5261,1583
2022,78494,3549,0,65,70,74810,12,14711,60087,290,19,6561,1202
